"GBAC","host","color"
"AY720892_NA_NA_2004_Dresden_NA_NA_serotype_1",NA,"#4B8601"
"FJ755402_human_CHN_2005_Beijing-128-2005-CHN_NA_stool_serotype_1",NA,"#97F0DA"
"FJ755403_human_CHN_2006_Beijing-176-2006-CHN_NA_stool_serotype_1",NA,"#93DB5A"
"FJ755404_human_CHN_2007_Beijing-291-2007-CHN_NA_stool_serotype_1",NA,"#63A21F"
"FJ755405_human_CHN_2007_Beijing-293-2007-CHN_NA_stool_serotype_1",NA,"#0B836F"
"HQ398856_human_HUN_2010_Hu-Nyergesujfalu-HUN4520-2010-HUN_NA_fecal-sample_serotype_1",NA,NA
"JN887820_human_KOR_2006_lhar-2011-kor_NA_stool_serotype_1",NA,"#ABF879"
"KF211475_human_CHN_2010_NA_JZ_NA_serotype_1",NA,"#7ABF3C"
"LC694986_human_JPN_2022_NA_HAstV1-211185-Tokyo-2022_NA_serotype_1",NA,"#B6ACE5"
"LC694987_human_JPN_2021_NA_HAstV1-210984-Tokyo-2021_NA_serotype_1",NA,"#E699FF"
"LC694988_human_JPN_2021_NA_HAstV1-210963-Tokyo-2021_NA_serotype_1",NA,"#887CBB"
"LC694989_human_JPN_2021_NA_HAstV1-210956-Tokyo-2021_NA_serotype_1",NA,"#7164A6"
"LC694990_human_JPN_2018_NA_HAstV1-181937-Tokyo-2018_NA_serotype_1",NA,"#66589C"
"LC694991_human_JPN_2021_NA_HAstV1-210764-Tokyo-2021_NA_serotype_1",NA,"#7C70B0"
"LC694992_human_JPN_2021_NA_HAstV1-210628-Tokyo-2021_NA_serotype_1",NA,"#821F99"
"LC694993_human_JPN_2020_NA_HAstV1-193061-Tokyo-2020_NA_serotype_1",NA,"#CDC5FA"
"LC694994_human_JPN_2020_NA_HAstV1-193055-Tokyo-2020_NA_serotype_1",NA,"#C1B8EF"
"LC694995_human_JPN_2020_NA_HAstV1-192642-Tokyo-2020_NA_serotype_1",NA,"#AAA0DA"
"LC694996_human_JPN_2018_NA_HAstV1-181290-Tokyo-2018_NA_serotype_1",NA,"#FFA6AB"
"LC694997_human_JPN_2018_NA_HAstV1-181289-Tokyo-2018_NA_serotype_1",NA,"#E38A90"
"MN433703_human_USA_2013_Hu-US-2013-CA-RGDS-1070_NA_stool_serotype_1",NA,"#E2E1DB"
"MN433704_human_USA_2013_Hu-US-2013-CA-RGDS-1071_NA_stool_serotype_1",NA,"#78766C"
"MT832892_human_BRA_2015_MAstV-1-Hu-BRA-TO-98-2015_TO-98_feces_serotype_1",NA,"#EBDE8A"
"MT832893_human_BRA_2015_MAstV-1-Hu-BRA-TO-160-2015_TO-160_feces_serotype_1",NA,"#BFB352"
"MT832894_human_BRA_2011_MAstV-1-Hu-BRA-TO-162-2011_TO-162_feces_serotype_1",NA,"#A89D37"
"MT832895_human_BRA_2015_MAstV-1-Hu-BRA-TO-171-2015_TO-171_feces_serotype_1",NA,"#93881B"
"MT832896_human_BRA_2015_MAstV-1-Hu-BRA-TO-208-2015_TO-208_feces_serotype_1",NA,"#7D7300"
"MT832897_human_BRA_2015_MAstV-1-Hu-BRA-TO-161-2015_TO-161_feces_serotype_1",NA,"#D4C86E"
"MW485040_human_KEN_2019_KLF-HAstV1-008-2019_NA_NA_serotype_1",NA,"#C86F75"
"ON571594_human_CHN_2019_NA_2019-Fuzhou-26_feces_serotype_1",NA,"#AD545B"
"ON571596_human_CHN_2019_NA_2019-Fuzhou-306_feces_serotype_1",NA,"#9388C5"
"ON571597_human_CHN_2019_NA_2019-Pingtan-42_feces_serotype_1",NA,"#9F94D0"
"OQ630461_human_GIN_2021_NA_SEN-21-286-S1_Stool-Sample-of-non-polio-AFP_serotype_1",NA,"#923941"
