"GBAC","host"
"AY720891_NA_NA_2004_Dresden_NA_NA_serotype_4","human"
"DQ070852_NA_BRA_1995_NA_Goiania-GO-12-95-Brazil_NA_serotype_4","human"
"DQ344027_NA_CHN_2005_NA_Guangzhou_NA_serotype_4","human"
"KF039912_NA_RUS_2005_NA_Rus-Nsc05-623_NA_serotype_4","human"
"KF039913_NA_RUS_2010_NA_Rus-Nsc10-N358_NA_serotype_4","human"
"MT906853_human_BRA_2014_Hu-BRA-TO-207-2014_BRA-TO-207_stool_serotype_4","human"
"MT906854_human_BRA_2015_Hu-BRA-TO-71-2015_BRA-TO-71_stool-sample_serotype_4","human"
"MT906855_human_BRA_2014_Hu-BRA-TO-26-2014_BRA-TO-26_stool-sample_serotype_4","human"
"ON571598_human_CHN_2021_NA_2021-Fuzhou-37_feces_serotype_4","human"
"OP432293_human_CHN_2021_NA_HAstV-4-RC-21027_NA_serotype_4","human"
"OP432294_human_CHN_2022_NA_HAstV-4-QD-L-22040_NA_serotype_4","human"
"OP432295_human_CHN_2022_NA_HAstV-4-QD-F-22056_NA_serotype_4","human"
"OP432296_human_CHN_2021_NA_HAstV-4-RC-21047_NA_serotype_4","human"
"OP432297_human_CHN_2022_NA_HAstV-4-QD-L-22001_NA_serotype_4","human"
"OP432298_human_CHN_2022_NA_HAstV-4-QD-S-22015_NA_serotype_4","human"
"OP432299_human_CHN_2021_NA_HAstV-4-RC-21045_NA_serotype_4","human"
"OP432300_human_CHN_2022_NA_HAstV-4-QD-S-22022_NA_serotype_4","human"
"OP432301_human_CHN_2022_NA_HAstV-4-QD-L-22019_NA_serotype_4","human"
"OR371570_human_CHN_2022_HAstV-4-Fuzhou-2022-10_NA_feces_serotype_4","human"
